Zeit von [CET/CEST],Zeit bis [CET/CEST],Wind [MW],Solar [MW],Biomasse [MW],Gas [MW],Kohle [MW],Öl [MW],Geothermie [MW],Pumpspeicher [MW],Lauf- und Schwellwasser [MW],Speicher [MW],Sonstige Erneuerbare [MW],Müll [MW],Andere [MW],date
04.10.2021 00:00:00,04.10.2021 00:15:00,44128,8428,15316,99687.20000000007,0,0,6.912000000000004,50120.000000000015,193285.60000000006,42880.8,0,9600,2112,04.10.2021
05.10.2021 00:00:00,05.10.2021 00:15:00,181656,7512,15316,137698.4,0,0,6.912000000000004,16469.199999999986,206884.8,34493.99999999999,0,9600,2112,05.10.2021
06.10.2021 00:00:00,06.10.2021 00:15:00,35112,3208,15396,126860.00000000003,0,0,6.912000000000004,88099.19999999998,251832.40000000002,51363.200000000004,0,9600,2112,06.10.2021
07.10.2021 00:00:00,07.10.2021 00:15:00,36064,2408,15360,82735.99999999999,0,0,6.912000000000004,44116.40000000001,307884.4,63964.400000000016,0,9600,2112,07.10.2021
08.10.2021 00:00:00,08.10.2021 00:15:00,33844,6360,15368,83467.6,0,0,6.912000000000004,74793.99999999999,294217.19999999984,40643.199999999975,0,9600,2112,08.10.2021
09.10.2021 00:00:00,09.10.2021 00:15:00,22272,9936,15360,39682.79999999999,0,0,6.912000000000004,-18089.600000000002,269095.9999999999,18877.600000000002,0,9600,2112,09.10.2021
10.10.2021 00:00:00,10.10.2021 00:15:00,20552,7488,15324,58960.00000000001,0,0,6.912000000000004,-53991.99999999996,239308.40000000002,16728.400000000005,0,9600,2112,10.10.2021
11.10.2021 00:00:00,11.10.2021 00:15:00,116476,7944,14656,150504.80000000005,0,0,6.912000000000004,31086.800000000003,212658.79999999996,33571.6,0,9600,2112,11.10.2021
12.10.2021 00:00:00,12.10.2021 00:15:00,90404,5444,13392,193766.40000000002,0,0,6.912000000000004,44214,207688.80000000005,39519.99999999999,0,9600,2112,12.10.2021
13.10.2021 00:00:00,13.10.2021 00:15:00,136108,7116,13736,114904.40000000004,0,0,6.912000000000004,58237.99999999999,230588.40000000002,37564.39999999997,0,9600,2112,13.10.2021
